vertices,Edges,pathlength,time taken,iteration
60,3540,5,1333,1
70,4830,6,3895,1
80,6320,6,4758,1
90,8010,6,5977,1
100,9900,6,7211,1
150,22350,7,32846,1
200,39800,7,56045,1
250,62250,7,85803,1
300,89700,8,251468,1
350,122150,8,339304,1
400,159600,8,448528,1
450,202050,8,558762,1
500,249500,8,683781,1
10,90,3,38,1
20,380,4,100,1
30,870,4,275,1
40,1560,5,638,1
50,2450,5,927,1
60,3540,5,1418,1
70,4830,6,3828,1
80,6320,6,5004,1
90,8010,6,6285,1
100,9900,6,7139,1
150,22350,7,33445,1
200,39800,7,55820,1
250,62250,7,85928,1
300,89700,8,253490,1
350,122150,8,342830,1
400,159600,8,441095,1
450,202050,8,570044,1
500,249500,8,692334,1
10,90,3,34,1
20,380,4,114,1
30,870,4,195,1
40,1560,5,684,1
50,2450,5,1237,1
60,3540,5,1684,1
70,4830,6,3862,1
80,6320,6,5029,1
90,8010,6,6048,1
100,9900,6,7537,1
150,22350,7,34756,1
200,39800,7,63138,1
250,62250,7,85934,1
300,89700,8,259450,1
350,122150,8,338954,1
400,159600,8,447726,1
450,202050,8,592828,1
500,249500,8,738666,1
10,90,3,34,1
20,380,4,105,1
30,870,4,188,1
40,1560,5,646,1
50,2450,5,957,1
60,3540,5,1367,1
70,4830,6,3783,1
80,6320,6,4765,1
90,8010,6,6317,1
100,9900,6,7500,1
150,22350,7,35294,1
200,39800,7,58244,1
250,62250,7,86143,1
300,89700,8,263806,1
350,122150,8,348120,1
400,159600,8,462465,1
450,202050,8,567686,1
500,249500,8,710028,1
10,90,3,33,1
20,380,4,117,1
30,870,4,207,1
40,1560,5,661,1
50,2450,5,1094,1
60,3540,5,1347,1
70,4830,6,3771,1
80,6320,6,4807,1
90,8010,6,6211,1
100,9900,6,7690,1
150,22350,7,34133,1
200,39800,7,67440,1
250,62250,7,88265,1
300,89700,8,255545,1
350,122150,8,343993,1
400,159600,8,451629,1
450,202050,8,572402,1
500,249500,8,693652,1
