vertices,Edges,pathlength,time taken,iteration
60,1674,5,1568,1
70,2332,6,4926,1
80,3068,6,6812,1
90,3936,6,8260,1
100,4888,6,9171,1
150,11238,7,44500,1
200,19978,7,75225,1
250,31164,7,138034,1
300,44828,8,412381,1
350,60476,8,343519,1
400,79128,8,441331,1
450,100454,8,702731,1
500,124764,8,832871,1
10,40,3,86,1
20,198,4,318,1
30,454,4,392,1
40,750,5,1224,1
50,1222,5,2101,1
60,1724,5,2350,1
70,2384,6,6878,1
80,3098,6,8797,1
90,3952,6,10638,1
100,4960,6,12886,1
150,11184,7,55857,1
200,19702,7,63513,1
250,30902,7,103971,1
300,44438,8,257813,1
350,60984,8,404930,1
400,79556,8,542688,1
450,100852,8,560597,1
500,124600,8,639087,1
10,50,3,62,1
20,196,4,230,1
30,454,4,383,1
40,812,5,935,1
50,1288,5,1255,1
60,1832,5,2225,1
70,2434,6,4629,1
80,3200,6,6123,1
90,4046,6,7190,1
100,4928,6,8721,1
150,11202,7,37974,1
200,19866,7,81933,1
250,31138,7,82992,1
300,44830,8,216435,1
350,61004,8,352642,1
400,79496,8,503052,1
450,100552,8,596690,1
500,125570,8,745267,1
10,44,3,47,1
20,202,4,132,1
30,464,4,237,1
40,786,5,759,1
50,1232,5,1072,1
60,1802,5,1457,1
70,2462,6,4171,1
80,3190,6,5138,1
90,3992,6,6339,1
100,4876,6,7411,1
150,11070,7,33453,1
200,19646,7,49761,1
250,30924,7,72456,1
300,44684,8,200355,1
350,60906,8,280182,1
400,79708,8,422026,1
450,101136,8,694858,1
500,125030,8,729301,1
10,62,3,53,1
20,196,4,141,1
30,470,4,259,1
40,836,5,925,1
50,1282,5,1366,1
60,1854,5,1823,1
70,2524,6,5353,1
80,3272,6,6408,1
90,4144,6,8170,1
100,5074,6,9599,1
150,11306,7,42517,1
200,19964,7,68592,1
250,31208,7,82357,1
300,44904,8,263884,1
350,61220,8,326669,1
400,79738,8,615096,1
450,100986,8,682292,1
500,124982,8,764011,1
