vertices,Edges,pathlength,time taken,iteration
80,234,6,911,1
90,264,6,1016,1
100,294,6,1125,1
150,444,7,3908,1
200,594,7,5617,1
250,744,7,6465,1
300,894,8,18195,1
350,1044,8,21876,1
400,1194,8,24566,1
450,1344,8,27305,1
500,1494,8,30680,1
10,24,3,33,1
20,54,4,55,1
30,84,4,75,1
40,114,5,209,1
50,144,5,255,1
60,174,5,298,1
70,204,6,800,1
80,234,6,905,1
90,264,6,1091,1
100,294,6,1124,1
150,444,7,4187,1
200,594,7,5185,1
250,744,7,6557,1
300,894,8,18332,1
350,1044,8,22261,1
400,1194,8,24570,1
450,1344,8,27500,1
500,1494,8,30635,1
10,24,3,31,1
20,54,4,53,1
30,84,4,75,1
40,114,5,201,1
50,144,5,244,1
60,174,5,308,1
70,204,6,800,1
80,234,6,933,1
90,264,6,1217,1
100,294,6,1128,1
150,444,7,3912,1
200,594,7,5318,1
250,744,7,6756,1
300,894,8,18450,1
350,1044,8,21496,1
400,1194,8,25506,1
450,1344,8,27080,1
500,1494,8,30526,1
10,24,3,29,1
20,54,4,54,1
30,84,4,79,1
40,114,5,200,1
50,144,5,257,1
60,174,5,307,1
70,204,6,800,1
80,234,6,907,1
90,264,6,1015,1
100,294,6,1133,1
150,444,7,3894,1
200,594,7,5695,1
250,744,7,6640,1
300,894,8,18602,1
350,1044,8,21915,1
400,1194,8,25186,1
450,1344,8,28404,1
500,1494,8,33651,1
