vertices,Edges,pathlength,time taken,iteration
350,1044,8,23154,1
400,1194,8,26540,1
450,1344,8,29009,1
500,1494,8,34535,1
10,24,8,534,1
20,54,8,1182,1
30,84,8,1926,1
40,114,8,2571,1
50,144,8,3091,1
60,174,8,3660,1
70,204,8,5078,1
80,234,8,5154,1
90,264,8,7130,1
100,294,8,6559,1
150,444,8,9591,1
200,594,8,12588,1
250,744,8,15861,1
300,894,8,19088,1
350,1044,8,21630,1
400,1194,8,25184,1
450,1344,8,28789,1
500,1494,8,32597,1
10,24,8,517,1
20,54,8,1172,1
30,84,8,1834,1
40,114,8,2702,1
50,144,8,3045,1
60,174,8,4218,1
70,204,8,4266,1
80,234,8,5326,1
90,264,8,5684,1
100,294,8,6604,1
150,444,8,9420,1
200,594,8,12518,1
250,744,8,16332,1
300,894,8,18812,1
350,1044,8,22386,1
400,1194,8,24821,1
450,1344,8,28140,1
500,1494,8,31226,1
10,24,8,564,1
20,54,8,1367,1
30,84,8,1844,1
40,114,8,2414,1
50,144,8,3029,1
60,174,8,3729,1
70,204,8,4370,1
80,234,8,4868,1
90,264,8,5511,1
100,294,8,6627,1
150,444,8,9256,1
200,594,8,12715,1
250,744,8,15600,1
300,894,8,18591,1
350,1044,8,21912,1
400,1194,8,25773,1
450,1344,8,29200,1
500,1494,8,32405,1
10,24,8,566,1
20,54,8,1258,1
30,84,8,1800,1
40,114,8,2488,1
50,144,8,3431,1
60,174,8,3848,1
70,204,8,4484,1
80,234,8,5142,1
90,264,8,5898,1
100,294,8,6317,1
150,444,8,9478,1
200,594,8,12605,1
250,744,8,16040,1
300,894,8,18856,1
350,1044,8,21845,1
400,1194,8,25502,1
450,1344,8,28901,1
500,1494,8,30872,1
