vertices,Edges,pathlength,time taken,iteration
450,202050,8,628119,1
500,249500,8,782022,1
10,90,8,1946993,4096
20,380,8,2149,1
30,870,8,4157,1
40,1560,8,6690,1
50,2450,8,9798,1
60,3540,8,13650,1
70,4830,8,17905,1
80,6320,8,22922,1
90,8010,8,27571,1
100,9900,8,34415,1
150,22350,8,73860,1
200,39800,8,128319,1
250,62250,8,198885,1
300,89700,8,285113,1
350,122150,8,386638,1
400,159600,8,502110,1
450,202050,8,635622,1
500,249500,8,781436,1
10,90,8,673031,1394
20,380,8,2208,1
30,870,8,9540,3
40,1560,8,16845,4
50,2450,8,9762,1
60,3540,8,13531,1
70,4830,8,18071,1
80,6320,8,23535,1
90,8010,8,28660,1
100,9900,8,35067,1
150,22350,8,75346,1
200,39800,8,132162,1
250,62250,8,202609,1
300,89700,8,286856,1
350,122150,8,383342,1
400,159600,8,505105,1
450,202050,8,634379,1
500,249500,8,775868,1
10,90,8,131411,260
20,380,8,6206,4
30,870,8,4122,1
40,1560,8,6747,1
50,2450,8,15870,2
60,3540,8,21664,2
70,4830,8,17726,1
80,6320,8,23150,1
90,8010,8,29077,1
100,9900,8,34687,1
150,22350,8,73902,1
200,39800,8,129785,1
250,62250,8,200409,1
300,89700,8,286192,1
350,122150,8,386891,1
400,159600,8,501943,1
450,202050,8,637801,1
500,249500,8,777321,1
10,90,8,208015,416
20,380,8,7149,5
30,870,8,8159,3
40,1560,8,6763,1
50,2450,8,9620,1
60,3540,8,13519,1
70,4830,8,18134,1
80,6320,8,23309,1
90,8010,8,28558,1
100,9900,8,34382,1
150,22350,8,74685,1
200,39800,8,131293,1
250,62250,8,201834,1
300,89700,8,285273,1
350,122150,8,390789,1
400,159600,8,503161,1
450,202050,8,641052,1
500,249500,8,783593,1
10,90,8,8124,15
20,380,8,8199,5
30,870,8,6792,2
40,1560,8,6622,1
50,2450,8,9928,1
60,3540,8,13723,1
70,4830,8,18169,1
80,6320,8,23234,1
90,8010,8,28813,1
100,9900,8,35045,1
150,22350,8,75080,1
200,39800,8,129574,1
250,62250,8,203338,1
300,89700,8,289623,1
350,122150,8,388730,1
400,159600,8,513177,1
450,202050,8,641826,1
500,249500,8,787828,1
