vertices,Edges,pathlength,time taken,iteration
450,202050,8,636475,1
500,249500,8,772971,1
10,90,8,18197,34
20,380,8,11856,9
30,870,8,6739,2
40,1560,8,6357,1
50,2450,8,9653,1
60,3540,8,13352,1
70,4830,8,18100,1
80,6320,8,23364,1
90,8010,8,27619,1
100,9900,8,35621,1
150,22350,8,74229,1
200,39800,8,128983,1
250,62250,8,200478,1
300,89700,8,284955,1
350,122150,8,384639,1
400,159600,8,518774,1
450,202050,8,626390,1
500,249500,8,746380,1
10,90,8,18789,35
20,380,8,5145,3
30,870,8,4001,1
40,1560,8,6675,1
50,2450,8,9659,1
60,3540,8,13577,1
70,4830,8,18037,1
80,6320,8,22728,1
90,8010,8,28089,1
100,9900,8,34612,1
150,22350,8,74163,1
200,39800,8,129553,1
250,62250,8,204854,1
300,89700,8,283706,1
350,122150,8,384657,1
400,159600,8,504375,1
450,202050,8,627044,1
500,249500,8,763287,1
10,90,8,47119,90
20,380,8,2149,1
30,870,8,3917,1
40,1560,8,6577,1
50,2450,8,9862,1
60,3540,8,13577,1
70,4830,8,18141,1
80,6320,8,22924,1
90,8010,8,25202,1
100,9900,8,34464,1
150,22350,8,75475,1
200,39800,8,128975,1
250,62250,8,199532,1
300,89700,8,284102,1
350,122150,8,387647,1
400,159600,8,507962,1
450,202050,8,622119,1
500,249500,8,768768,1
10,90,8,35959,67
20,380,8,2102,1
30,870,8,4070,1
40,1560,8,6766,1
50,2450,8,9972,1
60,3540,8,13474,1
70,4830,8,28102,2
80,6320,8,22773,1
90,8010,8,28697,1
100,9900,8,34462,1
150,22350,8,74810,1
200,39800,8,196594,2
250,62250,8,199704,1
300,89700,8,331108,1
350,122150,8,377200,1
400,159600,8,502950,1
450,202050,8,640070,1
500,249500,8,757487,1
10,90,8,39197,72
20,380,8,3228,2
30,870,8,4471,1
40,1560,8,6619,1
50,2450,8,9856,1
60,3540,8,13410,1
70,4830,8,18334,1
80,6320,8,49686,3
90,8010,8,28628,1
100,9900,8,35021,1
150,22350,8,70280,1
200,39800,8,127985,1
250,62250,8,197135,1
300,89700,8,283092,1
350,122150,8,386275,1
400,159600,8,500001,1
450,202050,8,948810,2
500,249500,8,767480,1
