vertices,Edges,pathlength,time taken,iteration
150,444,7,2987,1
200,594,7,4375,1
250,744,7,5035,1
300,894,8,13855,1
350,1044,8,17223,1
400,1194,8,20110,1
450,1344,8,20935,1
500,1494,8,24238,1
10,24,3,34,1
20,54,4,55,1
30,84,4,85,1
40,114,5,182,1
50,144,5,246,1
60,174,5,287,1
70,204,6,688,1
80,234,6,765,1
90,264,6,875,1
100,294,6,933,1
150,444,7,3112,1
200,594,7,4412,1
250,744,7,5195,1
300,894,8,13934,1
350,1044,8,16443,1
400,1194,8,19891,1
450,1344,8,20978,1
500,1494,8,23618,1
10,24,3,62,3
20,54,4,53,1
30,84,4,87,1
40,114,5,174,1
50,144,5,220,1
60,174,5,283,1
70,204,6,758,1
80,234,6,719,1
90,264,6,822,1
100,294,6,950,1
150,444,7,2971,1
200,594,7,4624,1
250,744,7,5078,1
300,894,8,13874,1
350,1044,8,16235,1
400,1194,8,19042,1
450,1344,8,21159,1
500,1494,8,23145,1
10,24,3,34,1
20,54,4,58,1
30,84,4,81,1
40,114,5,188,1
50,144,5,230,1
60,174,5,263,1
70,204,6,710,1
80,234,6,776,1
90,264,6,910,1
100,294,6,944,1
150,444,7,3116,1
200,594,7,4291,1
250,744,7,5195,1
300,894,8,14012,1
350,1044,8,16244,1
400,1194,8,18905,1
450,1344,8,20887,1
500,1494,8,23965,1
