vertices,Edges,pathlength,time taken,iteration
400,1194,8,22616,1
450,1344,8,25221,1
500,1494,8,27979,1
10,24,8,463,1
20,54,8,1075,1
30,84,8,1499,1
40,114,8,2059,1
50,144,8,2852,1
60,174,8,3068,1
70,204,8,3899,1
80,234,8,4487,1
90,264,8,4648,1
100,294,8,5484,1
150,444,8,8067,1
200,594,8,10561,1
250,744,8,13637,1
300,894,8,16255,1
350,1044,8,18952,1
400,1194,8,21843,1
450,1344,8,24391,1
500,1494,8,26577,1
10,24,8,476,1
20,54,8,981,1
30,84,8,1502,1
40,114,8,2028,1
50,144,8,2679,1
60,174,8,3064,1
70,204,8,3756,1
80,234,8,4108,1
90,264,8,4820,1
100,294,8,5355,1
150,444,8,7975,1
200,594,8,10727,1
250,744,8,13459,1
300,894,8,16130,1
350,1044,8,20215,1
400,1194,8,22536,1
450,1344,8,25577,1
500,1494,8,28055,1
10,24,8,559,1
20,54,8,1284,1
30,84,8,1655,1
40,114,8,2041,1
50,144,8,3615,1
60,174,8,3289,1
70,204,8,4680,1
80,234,8,4894,1
90,264,8,5477,1
100,294,8,6864,1
150,444,8,9741,1
200,594,8,11859,1
250,744,8,14377,1
300,894,8,16383,1
350,1044,8,20190,1
400,1194,8,22264,1
450,1344,8,24149,1
500,1494,8,27471,1
10,24,8,457,1
20,54,8,988,1
30,84,8,1900,1
40,114,8,2479,1
50,144,8,2603,1
60,174,8,3287,1
70,204,8,4047,1
80,234,8,4485,1
90,264,8,4916,1
100,294,8,5291,1
150,444,8,9617,1
200,594,8,10743,1
250,744,8,13502,1
300,894,8,16690,1
350,1044,8,18927,1
400,1194,8,21522,1
450,1344,8,24025,1
500,1494,8,28570,1
